match_no,stream,source_url,notes
68,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
69,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
70,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
71,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
72,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
73,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
74,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
75,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
76,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
77,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
78,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
79,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
80,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
81,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
82,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
83,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
84,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
85,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
86,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
87,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
88,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
89,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
90,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
91,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
92,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
93,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
94,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
95,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
96,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
97,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
98,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
99,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
100,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV (+ ARD/ZDF TBC)
101,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD/ZDF TBC + MagentaTV
102,TBC,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD/ZDF TBC + MagentaTV
103,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
104,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
